model_key,conversation_id,family,target_turn,policy_name,budget_fraction,budget_token_fraction,retained_turn_fraction,retained_turn_indices,full_token_count,compressed_token_count,token_fraction,logit_l2,kl,top1_match,kept_segment_count,compressed_segment_count,evicted_segment_count,memory_objects
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,semantic,0.35,0.45652173913043476,0.6666666666666666,"2,3,4,5",202,145,0.7178217821782178,463.29290771484375,5.283128302835394e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,geometry,0.35,0.42391304347826086,0.6666666666666666,"1,3,4,5",202,139,0.6881188118811881,472.76708984375,4.731873559649102e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,geometry_keep_compress_drop,0.35,0.45652173913043476,0.6666666666666666,"2,3,4,5",202,145,0.7178217821782178,463.29290771484375,5.283128302835394e-06,1.0,1,0,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":2,""support_turn_indices"":[3],""retained_turn_indices"":[2,3],""risk"":0.6051998734474182,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,semantic_keep_compress_drop,0.35,0.45652173913043476,0.6666666666666666,"2,3,4,5",202,145,0.7178217821782178,463.29290771484375,5.283128302835394e-06,1.0,1,0,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":2,""support_turn_indices"":[3],""retained_turn_indices"":[2,3],""risk"":0.3903461694717407,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,uniform,0.5,0.5760869565217391,0.5,"0,4,5",202,124,0.6138613861386139,632.404296875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,semantic,0.5,0.45652173913043476,0.6666666666666666,"2,3,4,5",202,145,0.7178217821782178,463.29290771484375,5.283128302835394e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,geometry,0.5,0.42391304347826086,0.6666666666666666,"1,3,4,5",202,139,0.6881188118811881,472.76708984375,4.731873559649102e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,geometry_keep_compress_drop,0.5,0.5760869565217391,0.5,"0,4,5",202,124,0.6138613861386139,632.404296875,0.0,1.0,0,1,1,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":0,""support_turn_indices"":[],""retained_turn_indices"":[0],""risk"":0.7036157846450806,""action"":""compress""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,6,semantic_keep_compress_drop,0.5,0.45652173913043476,0.6666666666666666,"2,3,4,5",202,145,0.7178217821782178,463.29290771484375,5.283128302835394e-06,1.0,1,0,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":2,""support_turn_indices"":[3],""retained_turn_indices"":[2,3],""risk"":0.3903461694717407,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,uniform,0.2,0.2722772277227723,0.42857142857142855,"1,5,6",217,113,0.5207373271889401,346.02203369140625,6.650173531852488e-07,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,semantic,0.2,0.2376237623762376,0.42857142857142855,"4,5,6",217,106,0.48847926267281105,479.7056579589844,1.3359296644921415e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,geometry,0.2,0.2376237623762376,0.42857142857142855,"4,5,6",217,106,0.48847926267281105,479.7056579589844,1.3359296644921415e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,geometry_keep_compress_drop,0.2,0.2376237623762376,0.42857142857142855,"4,5,6",217,106,0.48847926267281105,479.7056579589844,1.3359296644921415e-05,1.0,1,0,2,"[{""segment_start"":4,""segment_end"":5,""anchor_turn_index"":4,""support_turn_indices"":[],""retained_turn_indices"":[4],""risk"":0.6445193886756897,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,semantic_keep_compress_drop,0.2,0.2376237623762376,0.42857142857142855,"4,5,6",217,106,0.48847926267281105,479.7056579589844,1.3359296644921415e-05,1.0,1,0,2,"[{""segment_start"":4,""segment_end"":5,""anchor_turn_index"":4,""support_turn_indices"":[],""retained_turn_indices"":[4],""risk"":0.24902981519699097,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,uniform,0.35,0.4207920792079208,0.5714285714285714,"1,2,5,6",217,143,0.6589861751152074,507.04119873046875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,semantic,0.35,0.3564356435643564,0.5714285714285714,"3,4,5,6",217,130,0.5990783410138248,366.4014892578125,6.896749255247414e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,geometry,0.35,0.3564356435643564,0.5714285714285714,"1,4,5,6",217,130,0.5990783410138248,524.9829711914062,3.0887298635207117e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,geometry_keep_compress_drop,0.35,0.38613861386138615,0.5714285714285714,"2,4,5,6",217,136,0.6267281105990783,908.623291015625,1.4183114217303228e-05,1.0,1,1,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":2,""support_turn_indices"":[],""retained_turn_indices"":[2],""risk"":0.6051998734474182,""action"":""compress""},{""segment_start"":4,""segment_end"":5,""anchor_turn_index"":4,""support_turn_indices"":[],""retained_turn_indices"":[4],""risk"":0.6445193886756897,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,semantic_keep_compress_drop,0.35,0.3564356435643564,0.5714285714285714,"3,4,5,6",217,130,0.5990783410138248,366.4014892578125,6.896749255247414e-06,1.0,1,1,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":3,""support_turn_indices"":[],""retained_turn_indices"":[3],""risk"":0.17631199955940247,""action"":""compress""},{""segment_start"":4,""segment_end"":5,""anchor_turn_index"":4,""support_turn_indices"":[],""retained_turn_indices"":[4],""risk"":0.24902981519699097,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,uniform,0.5,0.5297029702970297,0.42857142857142855,"0,5,6",217,122,0.5622119815668203,338.89776611328125,3.457027560216375e-05,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,semantic,0.5,0.4752475247524752,0.7142857142857143,"1,3,4,5,6",217,154,0.7096774193548387,217.5045166015625,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,geometry,0.5,0.4752475247524752,0.7142857142857143,"1,3,4,5,6",217,154,0.7096774193548387,217.5045166015625,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,geometry_keep_compress_drop,0.5,0.504950495049505,0.7142857142857143,"2,3,4,5,6",217,160,0.7373271889400922,676.5664672851562,9.766704897629097e-05,1.0,2,0,1,"[{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":2,""support_turn_indices"":[3],""retained_turn_indices"":[2,3],""risk"":0.6051998734474182,""action"":""keep""},{""segment_start"":4,""segment_end"":5,""anchor_turn_index"":4,""support_turn_indices"":[],""retained_turn_indices"":[4],""risk"":0.6445193886756897,""action"":""keep""}]"
llama32_3b,stress_retrieval_launch_packet,retrieval_heavy,7,semantic_keep_compress_drop,0.5,0.4752475247524752,0.7142857142857143,"1,3,4,5,6",217,154,0.7096774193548387,217.5045166015625,0.0,1.0,1,2,0,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":1,""support_turn_indices"":[],""retained_turn_indices"":[1],""risk"":0.04091363400220871,""action"":""compress""},{""segment_start"":2,""segment_end"":4,""anchor_turn_index"":3,""support_turn_indices"":[],""retained_turn_indices"":[3],""risk"":0.17631199955940247,""action"":""compress""},{""segment_start"":4,""segment_end"":5,""anchor_turn_index"":4,""support_turn_indices"":[],""retained_turn_indices"":[4],""risk"":0.24902981519699097,""action"":""keep""}]"
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,uniform,0.2,0.4294117647058823,0.5,"2,3",188,134,0.7127659574468085,310.22882080078125,1.168339167634258e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,semantic,0.2,0.4294117647058823,0.5,"2,3",188,134,0.7127659574468085,310.22882080078125,1.168339167634258e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,geometry,0.2,0.4294117647058823,0.5,"2,3",188,134,0.7127659574468085,310.22882080078125,1.168339167634258e-06,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,geometry_keep_compress_drop,0.2,0.4294117647058823,0.5,"2,3",188,134,0.7127659574468085,310.22882080078125,1.168339167634258e-06,1.0,0,0,1,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,semantic_keep_compress_drop,0.2,0.4294117647058823,0.5,"2,3",188,134,0.7127659574468085,310.22882080078125,1.168339167634258e-06,1.0,0,0,1,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,uniform,0.35,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,semantic,0.35,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,geometry,0.35,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,geometry_keep_compress_drop,0.35,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,1,0,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":1,""support_turn_indices"":[],""retained_turn_indices"":[1],""risk"":0.9133709669113159,""action"":""compress""}]"
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,semantic_keep_compress_drop,0.35,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,1,0,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":1,""support_turn_indices"":[],""retained_turn_indices"":[1],""risk"":0.4906275272369385,""action"":""compress""}]"
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,uniform,0.5,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,semantic,0.5,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,geometry,0.5,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,0,0,[]
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,geometry_keep_compress_drop,0.5,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,1,0,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":1,""support_turn_indices"":[],""retained_turn_indices"":[1],""risk"":0.9133709669113159,""action"":""compress""}]"
llama32_3b,stress_retrieval_travel_itinerary,retrieval_heavy,4,semantic_keep_compress_drop,0.5,0.5588235294117647,0.75,"1,2,3",188,156,0.8297872340425532,346.56658935546875,0.0,1.0,0,1,0,"[{""segment_start"":0,""segment_end"":2,""anchor_turn_index"":1,""support_turn_indices"":[],""retained_turn_indices"":[1],""risk"":0.4906275272369385,""action"":""compress""}]"
