model_key,policy_name,budget_fraction,num_evaluations,mean_logit_l2,mean_kl,mean_top1_agreement,mean_token_fraction,mean_budget_token_fraction,mean_retained_turn_fraction,mean_kept_segments,mean_compressed_segments,mean_evicted_segments
qwen25_15b,geometry,0.35,36,313.1637068854438,1.1034155786453997e-05,1.0,0.638145571777918,0.45887655249198045,0.6225529100529101,0.0,0.0,0.0
qwen25_15b,geometry,0.50,36,263.1157743665907,1.037059397061372e-05,1.0,0.7258094732136554,0.5574933813614714,0.7160714285714287,0.0,0.0,0.0
qwen25_15b,geometry_lexical,0.20,36,356.3136102888319,1.3032389422289952e-05,1.0,0.539627955572082,0.3483727603207557,0.5083333333333333,0.0,0.0,0.0
qwen25_15b,geometry_lexical,0.35,36,329.92501068115234,1.2147767972968558e-05,1.0,0.6292301625183377,0.4490005426040946,0.6318121693121693,0.0,0.0,0.0
qwen25_15b,geometry_lexical,0.50,36,263.3185649447971,1.0385410692568017e-05,1.0,0.7211377865864885,0.5522118629285662,0.7160714285714287,0.0,0.0,0.0
qwen25_15b,geometry_segment_actions,0.20,36,346.82213486565485,1.3030592871826001e-05,1.0,0.5422557518977001,0.3512768393610168,0.5083333333333333,0.25,0.5,1.25
qwen25_15b,geometry_segment_actions,0.35,36,310.9247220357259,1.3596397123659552e-05,1.0,0.6459535781252153,0.46734421931807785,0.636441798941799,0.4444444444444444,1.0,0.5555555555555556
qwen25_15b,geometry_segment_actions,0.50,36,266.2849947611491,9.549852350208061e-06,1.0,0.7270710936570288,0.5590255438335631,0.7160714285714287,0.8611111111111112,0.6944444444444444,0.4444444444444444
qwen25_15b,lexical,0.20,36,368.0341125064426,1.3033032101878512e-05,1.0,0.5416811953896751,0.35083614347887626,0.5083333333333333,0.0,0.0,0.0
qwen25_15b,lexical,0.35,36,341.0856975979275,1.3130424631135895e-05,1.0,0.6273138499668872,0.4467579548401889,0.632473544973545,0.0,0.0,0.0
qwen25_15b,lexical,0.50,36,262.70180257161456,1.0000217693010973e-05,1.0,0.7164990647122368,0.5470527407243932,0.7160714285714287,0.0,0.0,0.0
qwen25_15b,uniform,0.20,36,386.8999563852946,1.2902200206129274e-05,1.0,0.5472185118758299,0.35736947587020307,0.5083333333333333,0.0,0.0,0.0
qwen25_15b,uniform,0.35,36,334.8328386942546,1.220829357932872e-05,1.0,0.6320212559640761,0.4637102246405824,0.6245370370370371,0.0,0.0,0.0
qwen25_15b,uniform,0.50,36,264.8650737338596,1.1446203947179964e-05,1.0,0.6795395882075211,0.5798055090215349,0.6384259259259261,0.0,0.0,0.0
qwen25_15b,uniform_segment_actions,0.20,36,347.25190289815265,1.2788319854178325e-05,1.0,0.5434184780604263,0.3525573271658948,0.5083333333333333,0.25,0.5,1.25
qwen25_15b,uniform_segment_actions,0.35,36,313.6040102640788,1.3710703912483968e-05,1.0,0.6482856102976527,0.4700639142484375,0.636441798941799,0.4444444444444444,1.0,0.5555555555555556
qwen25_15b,uniform_segment_actions,0.50,36,288.1788109673394,1.2095318317474778e-05,1.0,0.7058880869120127,0.5352797906357867,0.7160714285714287,0.5,1.4166666666666667,0.08333333333333333
smollm2_17b,geometry,0.20,36,228.7194798787435,0.11222130808437687,0.8055555555555556,0.5489805054916581,0.3634081305324768,0.5083333333333333,0.0,0.0,0.0
smollm2_17b,geometry,0.35,36,204.49679819742838,0.04655520095562101,0.8888888888888888,0.6252717721214301,0.449376392003505,0.6255291005291006,0.0,0.0,0.0
smollm2_17b,geometry,0.50,36,174.80376370747885,0.028890068872172096,0.8888888888888888,0.7052011022606882,0.5402047997210065,0.7105158730158732,0.0,0.0,0.0
smollm2_17b,geometry_lexical,0.20,36,227.4433881971571,0.09889752713046107,0.8055555555555556,0.5456097241937782,0.3596829747568132,0.5083333333333333,0.0,0.0,0.0
